name,dayOfWeek,opens_time,closes_time
COMEBUY (台北市府店),Friday,00:00,04:00
COMEBUY (台北市府店),Saturday,00:00,04:00
COMEBUY (台北市府店),Sunday,00:00,04:00
COMEBUY (台北市府店),Tuesday,10:30,23:59
COMEBUY (台北市府店),Wednesday,10:30,23:59
COMEBUY (台北市府店),Thursday,10:30,23:59
COMEBUY (台北市府店),Friday,10:30,23:59
COMEBUY (台北市府店),Saturday,10:30,23:59
COMEBUY (台北市府店),Sunday,10:30,23:59
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Monday,16:30,23:59
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Tuesday,16:30,23:59
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Wednesday,16:30,23:59
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Thursday,16:30,23:59
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Monday,00:00,01:00
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Tuesday,00:00,01:00
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Wednesday,00:00,01:00
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Thursday,00:00,01:00
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Friday,00:00,01:00
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Saturday,00:00,01:00
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Sunday,00:00,01:00
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Friday,15:30,23:59
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Saturday,15:30,23:59
焦糖楓串燒漢方無烟撒粉 (台北永吉店),Sunday,15:30,23:59
Popcorn Chicken King (Taipei Tonghua Store),Monday,10:30,23:59
Popcorn Chicken King (Taipei Tonghua Store),Tuesday,10:30,23:59
Popcorn Chicken King (Taipei Tonghua Store),Wednesday,10:30,23:59
Popcorn Chicken King (Taipei Tonghua Store),Thursday,10:30,23:59
Popcorn Chicken King (Taipei Tonghua Store),Friday,10:30,23:59
Popcorn Chicken King (Taipei Tonghua Store),Saturday,10:30,23:59
Popcorn Chicken King (Taipei Tonghua Store),Sunday,10:30,23:59
Popcorn Chicken King (Taipei Tonghua Store),Monday,00:00,04:00
Popcorn Chicken King (Taipei Tonghua Store),Tuesday,00:00,04:00
Popcorn Chicken King (Taipei Tonghua Store),Wednesday,00:00,04:00
Popcorn Chicken King (Taipei Tonghua Store),Thursday,00:00,04:00
Popcorn Chicken King (Taipei Tonghua Store),Friday,00:00,04:00
Popcorn Chicken King (Taipei Tonghua Store),Saturday,00:00,04:00
Popcorn Chicken King (Taipei Tonghua Store),Sunday,00:00,04:00
十全藥膳排骨 (大安通化店),Monday,11:00,23:59
十全藥膳排骨 (大安通化店),Tuesday,11:00,23:59
十全藥膳排骨 (大安通化店),Wednesday,11:00,23:59
十全藥膳排骨 (大安通化店),Thursday,11:00,23:59
十全藥膳排骨 (大安通化店),Friday,11:00,23:59
十全藥膳排骨 (大安通化店),Saturday,11:00,23:59
十全藥膳排骨 (大安通化店),Sunday,11:00,23:59
十全藥膳排骨 (大安通化店),Monday,00:00,03:30
十全藥膳排骨 (大安通化店),Tuesday,00:00,03:30
十全藥膳排骨 (大安通化店),Wednesday,00:00,03:30
十全藥膳排骨 (大安通化店),Thursday,00:00,03:30
十全藥膳排骨 (大安通化店),Friday,00:00,03:30
十全藥膳排骨 (大安通化店),Saturday,00:00,03:30
十全藥膳排骨 (大安通化店),Sunday,00:00,03:30
百家班 (台北基隆路店),Monday,17:00,23:59
百家班 (台北基隆路店),Tuesday,17:00,23:59
百家班 (台北基隆路店),Wednesday,17:00,23:59
百家班 (台北基隆路店),Thursday,17:00,23:59
百家班 (台北基隆路店),Friday,17:00,23:59
百家班 (台北基隆路店),Saturday,17:00,23:59
百家班 (台北基隆路店),Sunday,17:00,23:59
百家班 (台北基隆路店),Monday,00:00,01:00
百家班 (台北基隆路店),Tuesday,00:00,01:00
百家班 (台北基隆路店),Wednesday,00:00,01:00
百家班 (台北基隆路店),Thursday,00:00,01:00
百家班 (台北基隆路店),Friday,00:00,01:00
百家班 (台北基隆路店),Saturday,00:00,01:00
百家班 (台北基隆路店),Sunday,00:00,01:00
紅花麻辣鹹水雞,Monday,16:00,23:59
紅花麻辣鹹水雞,Tuesday,16:00,23:59
紅花麻辣鹹水雞,Wednesday,16:00,23:59
紅花麻辣鹹水雞,Thursday,16:00,23:59
紅花麻辣鹹水雞,Friday,16:00,23:59
紅花麻辣鹹水雞,Saturday,16:00,23:59
紅花麻辣鹹水雞,Sunday,16:00,23:59
常旺海鮮熱炒,Monday,17:00,23:59
常旺海鮮熱炒,Tuesday,17:00,23:59
常旺海鮮熱炒,Wednesday,17:00,23:59
常旺海鮮熱炒,Thursday,17:00,23:59
常旺海鮮熱炒,Friday,17:00,23:59
常旺海鮮熱炒,Saturday,17:00,23:59
常旺海鮮熱炒,Sunday,17:00,23:59
常旺海鮮熱炒,Monday,00:00,02:00
常旺海鮮熱炒,Tuesday,00:00,02:00
常旺海鮮熱炒,Wednesday,00:00,02:00
常旺海鮮熱炒,Thursday,00:00,02:00
常旺海鮮熱炒,Friday,00:00,02:00
常旺海鮮熱炒,Saturday,00:00,02:00
常旺海鮮熱炒,Sunday,00:00,02:00
滿哥甜品坊,Monday,14:00,23:59
滿哥甜品坊,Tuesday,14:00,23:59
滿哥甜品坊,Wednesday,14:00,23:59
滿哥甜品坊,Thursday,14:00,23:59
滿哥甜品坊,Friday,14:00,23:59
滿哥甜品坊,Saturday,14:00,23:59
滿哥甜品坊,Sunday,14:00,23:59
興安四海豆漿 (台北店),Monday,19:00,23:59
興安四海豆漿 (台北店),Tuesday,19:00,23:59
興安四海豆漿 (台北店),Wednesday,19:00,23:59
興安四海豆漿 (台北店),Thursday,19:00,23:59
興安四海豆漿 (台北店),Friday,19:00,23:59
興安四海豆漿 (台北店),Saturday,19:00,23:59
興安四海豆漿 (台北店),Sunday,19:00,23:59
興安四海豆漿 (台北店),Monday,00:00,04:00
興安四海豆漿 (台北店),Tuesday,00:00,04:00
興安四海豆漿 (台北店),Wednesday,00:00,04:00
興安四海豆漿 (台北店),Thursday,00:00,04:00
興安四海豆漿 (台北店),Friday,00:00,04:00
興安四海豆漿 (台北店),Saturday,00:00,04:00
興安四海豆漿 (台北店),Sunday,00:00,04:00
興安四海豆漿 (台北店),Monday,07:00,11:00
興安四海豆漿 (台北店),Tuesday,07:00,11:00
興安四海豆漿 (台北店),Wednesday,07:00,11:00
興安四海豆漿 (台北店),Thursday,07:00,11:00
興安四海豆漿 (台北店),Friday,07:00,11:00
興安四海豆漿 (台北店),Saturday,07:00,11:00
興安四海豆漿 (台北店),Sunday,07:00,11:00
京星港式飲茶一店,Monday,00:00,23:59
京星港式飲茶一店,Tuesday,00:00,23:59
京星港式飲茶一店,Wednesday,00:00,23:59
京星港式飲茶一店,Thursday,00:00,23:59
京星港式飲茶一店,Friday,00:00,23:59
京星港式飲茶一店,Saturday,00:00,23:59
京星港式飲茶一店,Sunday,00:00,23:59
胡同燒肉丼 2號店,Monday,18:30,23:59
胡同燒肉丼 2號店,Tuesday,18:30,23:59
胡同燒肉丼 2號店,Wednesday,18:30,23:59
胡同燒肉丼 2號店,Thursday,18:30,23:59
胡同燒肉丼 2號店,Friday,18:30,23:59
胡同燒肉丼 2號店,Saturday,18:00,23:59
胡同燒肉丼 2號店,Sunday,18:00,23:59
泰讚了thai like tea市民總店,Monday,00:00,03:00
泰讚了thai like tea市民總店,Tuesday,00:00,03:00
泰讚了thai like tea市民總店,Wednesday,00:00,03:00
泰讚了thai like tea市民總店,Thursday,00:00,03:00
泰讚了thai like tea市民總店,Friday,00:00,03:00
泰讚了thai like tea市民總店,Tuesday,18:30,23:59
泰讚了thai like tea市民總店,Wednesday,18:30,23:59
泰讚了thai like tea市民總店,Thursday,18:30,23:59
泰讚了thai like tea市民總店,Friday,18:30,23:59
泰讚了thai like tea市民總店,Saturday,18:30,23:59
泰讚了thai like tea市民總店,Sunday,18:30,23:59
泰讚了thai like tea市民總店,Saturday,00:00,04:00
泰讚了thai like tea市民總店,Sunday,00:00,04:00
鱻聚霸生猛海鮮,Monday,00:00,01:30
鱻聚霸生猛海鮮,Tuesday,00:00,01:30
鱻聚霸生猛海鮮,Wednesday,00:00,01:30
鱻聚霸生猛海鮮,Thursday,00:00,01:30
鱻聚霸生猛海鮮,Friday,00:00,01:30
鱻聚霸生猛海鮮,Saturday,00:00,01:30
鱻聚霸生猛海鮮,Sunday,00:00,01:30
鱻聚霸生猛海鮮,Monday,17:00,23:59
鱻聚霸生猛海鮮,Tuesday,17:00,23:59
鱻聚霸生猛海鮮,Wednesday,17:00,23:59
鱻聚霸生猛海鮮,Thursday,17:00,23:59
鱻聚霸生猛海鮮,Friday,17:00,23:59
鱻聚霸生猛海鮮,Saturday,17:00,23:59
鱻聚霸生猛海鮮,Sunday,17:00,23:59
玉欣珍傳統美食坊,Monday,00:00,23:59
玉欣珍傳統美食坊,Tuesday,00:00,23:59
玉欣珍傳統美食坊,Wednesday,00:00,23:59
玉欣珍傳統美食坊,Thursday,00:00,23:59
玉欣珍傳統美食坊,Friday,00:00,23:59
玉欣珍傳統美食坊,Saturday,00:00,23:59
玉欣珍傳統美食坊,Sunday,00:00,23:59
四鄉五島馬祖麵,Monday,00:00,01:00
四鄉五島馬祖麵,Tuesday,00:00,01:00
四鄉五島馬祖麵,Wednesday,00:00,01:00
四鄉五島馬祖麵,Thursday,00:00,01:00
四鄉五島馬祖麵,Friday,00:00,01:00
四鄉五島馬祖麵,Saturday,00:00,01:00
四鄉五島馬祖麵,Sunday,00:00,01:00
四鄉五島馬祖麵,Monday,10:00,23:59
四鄉五島馬祖麵,Tuesday,10:00,23:59
四鄉五島馬祖麵,Wednesday,10:00,23:59
